asset_uid,source,retrieved_at,block_time,tx_hash,log_index,from_address,to_address,amount,amount_usd,kind
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-06-06T12:00:00+00:00,0x000000000000000000000000000000000000000000000000000000000000000a,0,0x00000000000000000000000000000000000a0015,0x00000000000000000000000000000000000a0016,25000.0,100000000.0,secondary
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-06-07T12:00:00+00:00,0x000000000000000000000000000000000000000000000000000000000000000b,0,0x00000000000000000000000000000000000a0016,0x00000000000000000000000000000000000a0017,30000.0,120000000.0,secondary
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-06-10T12:00:00+00:00,0x000000000000000000000000000000000000000000000000000000000000000c,0,0x00000000000000000000000000000000000a0017,0x00000000000000000000000000000000000a0018,15000.0,60000000.0,secondary
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-06-13T12:00:00+00:00,0x000000000000000000000000000000000000000000000000000000000000000d,0,0x00000000000000000000000000000000000a0018,0x00000000000000000000000000000000000a0019,20000.0,80000000.0,secondary
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-06-14T12:00:00+00:00,0x000000000000000000000000000000000000000000000000000000000000000e,0,0x00000000000000000000000000000000000a0019,0x00000000000000000000000000000000000a001a,18000.0,72000000.0,secondary
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-06-17T12:00:00+00:00,0x000000000000000000000000000000000000000000000000000000000000000f,0,0x00000000000000000000000000000000000a001a,0x00000000000000000000000000000000000a001b,22000.0,88000000.0,secondary
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-06-20T12:00:00+00:00,0x0000000000000000000000000000000000000000000000000000000000000010,0,0x00000000000000000000000000000000000a001b,0x00000000000000000000000000000000000a001c,12000.0,48000000.0,secondary
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-06-22T12:00:00+00:00,0x0000000000000000000000000000000000000000000000000000000000000011,0,0x00000000000000000000000000000000000a001c,0x00000000000000000000000000000000000a001d,35000.0,140000000.0,secondary
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-06-28T12:00:00+00:00,0x0000000000000000000000000000000000000000000000000000000000000012,0,0x00000000000000000000000000000000000a001d,0x00000000000000000000000000000000000a0014,33000.0,132000000.0,secondary
ethereum:0x0000000000000000000000000000000000000003,sample_chain,2026-07-01T00:00:00+00:00,2026-06-05T12:00:00+00:00,0x0000000000000000000000000000000000000000000000000000000000000013,0,0x0000000000000000000000000000000000000000,0x00000000000000000000000000000000000a0028,20000.0,20000000.0,mint
ethereum:0x0000000000000000000000000000000000000003,sample_chain,2026-07-01T00:00:00+00:00,2026-06-15T12:00:00+00:00,0x0000000000000000000000000000000000000000000000000000000000000014,0,0x00000000000000000000000000000000000a0028,0x00000000000000000000000000000000000a0029,500.0,500000.0,secondary
ethereum:0x0000000000000000000000000000000000000003,sample_chain,2026-07-01T00:00:00+00:00,2026-06-26T12:00:00+00:00,0x0000000000000000000000000000000000000000000000000000000000000015,0,0x00000000000000000000000000000000000a0029,0x00000000000000000000000000000000000a002a,300.0,300000.0,secondary
ethereum:0x0000000000000000000000000000000000000003,sample_chain,2026-07-01T00:00:00+00:00,2026-06-29T12:00:00+00:00,0x0000000000000000000000000000000000000000000000000000000000000016,0,0x00000000000000000000000000000000000a002a,0x00000000000000000000000000000000000a002b,1200.0,1200000.0,unclassified
